year,fips,population,per_income,employment_total
1969,0,201298,3931,91053.2
1970,0,203798.722,4198,91277.6
1971,0,206817.509,4471,91581.4
1972,0,209274.882,4857,94312.2
1973,0,211349.205,5363,98427.5
1974,0,213333.635,5836,100111.8
1975,0,215456.585,6324,98900.6
1976,0,217553.859,6875,101591.2
1977,0,219760.875,7516,105042.2
1978,0,222098.244,8356,109686.6
1979,0,224568.579,9232,113147.1
1980,0,227224.719,10180,113983.2
1969,1000,3440,2831,1411.234
1970,1000,3449.846,3081,1412.928
1971,1000,3497.452,3345,1423.459
1972,1000,3540.08,3672,1470.523
1973,1000,3580.769,4088,1525.967
1974,1000,3627.805,4477,1552.266
1975,1000,3680.533,4918,1543.312
1976,1000,3737.204,5438,1593.952
1977,1000,3782.736,5920,1651.033
1978,1000,3834.12,6609,1712.582
1979,1000,3869.444,7275,1735.879
1980,1000,3900.368,7957,1731.866
1969,1001,25.166,2780,6.63
1970,1001,24.606,3158,6.853
1971,1001,25.508,3454,7.045
1972,1001,27.166,3687,7.864
1973,1001,28.463,4039,8.617
1974,1001,29.266,4246,8.771
1975,1001,29.718,4431,8.675
1976,1001,29.896,5035,8.717
1977,1001,30.462,5320,8.973
1978,1001,30.882,6101,9.487
1979,1001,32.055,7113,11.769
1980,1001,32.215,7761,11.255
1969,1003,56.951,2760,20.008
1970,1003,59.474,2905,19.749
1971,1003,60.142,3270,20.505
1972,1003,62.435,3584,21.727
1973,1003,64.196,4176,23.015
1974,1003,66.072,4628,23.738
1975,1003,67.861,5088,24.458
1976,1003,70.244,5781,25.75
1977,1003,72.399,6009,26.965
1978,1003,74.55,6660,27.291
1979,1003,76.594,7080,27.875
1980,1003,78.931,7801,27.777
1969,1005,23.818,2147,9.428
1970,1005,22.655,2545,9.448
1971,1005,23.092,2686,9.559
1972,1005,22.854,3068,9.691
1973,1005,23.457,3401,9.961
1974,1005,23.432,3847,9.867
1975,1005,24.869,3962,9.622
1976,1005,25.609,4428,9.835
1977,1005,24.69,4998,9.905
1978,1005,24.524,5716,10.391
1979,1005,24.429,6217,9.865
1980,1005,24.763,6462,9.724
1969,1007,14.994,1988,4.087
1970,1007,13.798,2359,3.965
1971,1007,13.919,2630,3.954
1972,1007,14.097,2897,3.941
1973,1007,14.654,3180,3.955
1974,1007,14.391,3530,3.868
1975,1007,14.778,3811,3.875
1976,1007,14.763,4394,3.972
1977,1007,15.257,4731,4.121
1978,1007,15.355,5433,4.387
1979,1007,15.55,6051,4.458
1980,1007,15.751,6525,4.262
1969,1009,26.411,2625,7.66
1970,1009,26.999,2595,7.587
1971,1009,27.817,2790,7.756
1972,1009,29.296,3108,8.066
1973,1009,30.357,3618,8.512
1974,1009,31.537,3669,8.576
1975,1009,32.219,4312,8.546
1976,1009,33.048,4679,8.828
1977,1009,34.219,5022,8.903
1978,1009,34.845,5640,9.374
1979,1009,35.959,6099,9.457
1980,1009,36.508,6789,9.467
1969,1011,12.554,1809,4.37
1970,1011,11.749,2165,4.281
1971,1011,11.418,2389,4.381
1972,1011,11.443,2755,4.736
1973,1011,11.274,3195,4.666
1974,1011,11.141,3355,4.656
1975,1011,11.097,3460,4.434
1976,1011,11.112,4065,4.588
1977,1011,11.015,4451,4.34
1978,1011,10.954,4781,4.133
1979,1011,10.799,5322,4.115
1980,1011,10.616,5484,4.084
1969,1013,22.726,2017,8.969
1970,1013,21.987,2210,8.632
1971,1013,21.846,2373,8.45
1972,1013,21.53,2762,8.647
1973,1013,21.237,3184,8.685
1974,1013,21.16,3478,8.779
1975,1013,21.169,3885,8.333
1976,1013,21.351,4261,8.556
1977,1013,20.872,4693,8.639
1978,1013,20.911,5572,8.769
1979,1013,21.204,6157,8.815
1980,1013,21.789,6464,8.896
1969,1015,102.946,2957,48.874
1970,1015,103.125,3044,46.65
1971,1015,103.622,3412,47.036
1972,1015,103.846,3818,48.347
1973,1015,105.027,4129,49.305
1974,1015,105.917,4583,50.224
1975,1015,107.005,5207,50.663
1976,1015,112.768,5537,53.001
1977,1015,112.801,6224,55.396
1978,1015,116.474,6667,56.359
1979,1015,116.742,7278,56.639
1980,1015,120.016,8106,57.453
1969,1017,37.814,2502,16.044
1970,1017,36.274,2819,16.255
1971,1017,36.28,3042,16.634
1972,1017,36.087,3497,17.236
1973,1017,36.961,3888,18.106
1974,1017,37.534,4218,18.015
1975,1017,37.537,4434,17.036
1976,1017,37.943,5070,17.722
1977,1017,38.368,5455,17.9
1978,1017,38.734,5948,17.512
1979,1017,39.303,6374,16.447
1980,1017,39.243,7056,16.112
1969,1019,15.904,2394,4.95
1970,1019,15.771,2482,4.496
1971,1019,16.522,2697,4.686
1972,1019,16.86,2963,4.862
1973,1019,17.242,3437,5.089
1974,1019,17.661,3571,5.365
1975,1019,18.068,3728,5.368
1976,1019,18.556,4364,5.392
1977,1019,18.435,4581,5.336
1978,1019,18.59,5291,5.385
1979,1019,18.644,6173,5.615
1980,1019,18.876,6433,6.058
1969,1021,26.594,2226,6.997
1970,1021,25.222,2460,6.686
1971,1021,25.63,2803,7.001
1972,1021,26.442,3047,7.318
1973,1021,27.241,3432,7.499
1974,1021,27.932,3574,7.392
1975,1021,28.558,3977,7.471
1976,1021,29.051,4516,8.007
1977,1021,29.317,4993,8.075
1978,1021,29.926,5630,8.235
1979,1021,30.472,6238,8.389
1980,1021,30.641,6894,8.076
1969,1023,18.432,1600,5.636
1970,1023,16.577,1932,5.564
1971,1023,16.516,2073,5.583
1972,1023,16.689,2276,5.702
1973,1023,16.996,2498,5.846
1974,1023,16.819,2759,5.749
1975,1023,17.226,3092,5.747
1976,1023,17.448,3490,5.948
1977,1023,17.329,3788,6.017
1978,1023,16.931,4389,6.345
1979,1023,16.909,5011,6.571
1980,1023,16.812,5530,6.523
1969,1025,28.083,2154,9.231
1970,1025,26.536,2425,9.061
1971,1025,25.876,2670,9.053
1972,1025,26.28,2897,9.312
1973,1025,26.544,3202,9.636
1974,1025,26.907,3548,9.503
1975,1025,27.385,3835,9.23
1976,1025,27.85,4472,9.91
1977,1025,28.225,5074,10.078
1978,1025,28.36,5823,10.292
1979,1025,27.646,6407,10.274
1980,1025,27.797,6976,10.291
1969,1027,13.075,2215,4.193
1970,1027,12.678,2373,4.153
1971,1027,12.926,2484,4.172
1972,1027,13.24,2748,4.328
1973,1027,12.959,3121,4.33
1974,1027,13.139,3233,4.214
1975,1027,13.165,3703,4.202
1976,1027,13.381,4123,4.442
1977,1027,13.33,4670,4.572
1978,1027,13.697,5260,4.724
1979,1027,13.895,5704,4.746
1980,1027,13.74,6884,5.188
1969,1029,11.115,2575,3.328
1970,1029,11.008,2691,3.383
1971,1029,11.165,2873,3.309
1972,1029,11.384,3156,3.176
1973,1029,11.654,3566,3.323
1974,1029,11.839,3675,3.285
1975,1029,11.985,4262,3.189
1976,1029,12.055,4646,3.367
1977,1029,12.086,5229,3.511
1978,1029,12.217,5725,3.581
1979,1029,12.559,6324,3.764
1980,1029,12.64,7311,3.802
1969,1031,36.137,2605,11.626
1970,1031,35.107,3142,11.946
1971,1031,36.396,3351,12.22
1972,1031,36.171,3090,13.389
1973,1031,35.648,3472,13.646
1974,1031,35.507,3943,13.803
1975,1031,36.451,4276,13.005
1976,1031,36.96,4707,13.233
1977,1031,37.355,5323,13.794
1978,1031,37.45,6095,15.036
1979,1031,37.849,6790,15.454
1980,1031,38.779,7076,14.831
1969,1033,50.891,2783,25.671
1970,1033,49.663,3091,25.05
1971,1033,50.387,3380,24.89
1972,1033,50.72,3641,25.678
1973,1033,51.277,4008,26.779
1974,1033,50.779,4525,27.945
1975,1033,52.084,4805,27.117
1976,1033,52.053,5587,28.09
1977,1033,53.133,6040,29.261
1978,1033,53.323,6929,30.691
1979,1033,54.097,7525,30.461
1980,1033,54.58,8170,29.745
1969,1035,16.645,1818,5.244
1970,1035,15.663,2045,5.072
1971,1035,15.788,2283,5.093
1972,1035,15.796,2597,5.294
1973,1035,15.702,3059,5.499
1974,1035,15.518,3271,5.298
1975,1035,15.794,3466,5.171
1976,1035,15.516,3994,5.097
1977,1035,15.435,4383,5.222
1978,1035,15.811,5224,5.664
1979,1035,15.933,5978,5.722
1980,1035,15.838,6351,5.657
1969,1037,11.012,2280,2.475
1970,1037,10.661,2431,2.439
1971,1037,10.72,2575,2.455
1972,1037,10.852,2791,2.546
1973,1037,11.408,3010,2.607
1974,1037,11.47,3173,2.659
1975,1037,11.469,3459,2.705
1976,1037,11.24,3992,2.778
1977,1037,11.516,4243,2.809
1978,1037,11.652,4660,2.889
1979,1037,11.63,5247,2.986
1980,1037,11.395,6220,2.969
1969,1039,35.074,2459,15.727
1970,1039,34.134,2765,15.75
1971,1039,34.607,3007,15.845
1972,1039,34.986,3318,16.326
1973,1039,35.341,3688,16.552
1974,1039,36.05,3860,16.487
1975,1039,36.193,4239,16.002
1976,1039,36.245,4705,16.543
1977,1039,36.264,5247,16.97
1978,1039,36.492,5927,17.435
1979,1039,37.084,6483,17.441
1980,1039,36.881,6811,17.016
1969,1041,13.866,1929,4.872
1970,1041,13.219,2116,4.798
1971,1041,13.363,2285,4.898
1972,1041,13.504,2706,5.171
1973,1041,13.943,3081,5.053
1974,1041,14.032,3200,5.112
1975,1041,13.853,3866,4.855
1976,1041,13.912,4052,4.922
1977,1041,13.927,4503,5.105
1978,1041,13.909,5264,5.184
1979,1041,14.084,5312,5.303
1980,1041,14.122,5666,5.209
1969,1043,52.05,2496,19.498
1970,1043,52.77,2512,19.607
1971,1043,54.324,2643,19.524
1972,1043,55.776,2909,20.105
1973,1043,57.227,3332,20.335
1974,1043,57.728,3534,21.014
1975,1043,58.085,4421,20.899
1976,1043,59.686,4722,21.775
1977,1043,60.38,5189,22.432
1978,1043,61.079,5741,23.036
1979,1043,61.471,6138,23.585
1980,1043,61.744,6880,23.482
1969,1045,49.802,3467,33.443
1970,1045,53.23,3781,35.161
1971,1045,54.549,3720,31.859
1972,1045,49.452,3913,24.678
1973,1045,43.859,4643,23.585
1974,1045,44.37,4940,23.223
1975,1045,46.068,5150,23.06
1976,1045,44.861,5684,23.5
1977,1045,44.652,6134,23.535
1978,1045,46.666,6460,24.331
1979,1045,46.385,7067,25.22
1980,1045,47.998,7738,26.592
1969,1047,56.43,2557,24.539
1970,1047,55.309,2913,23.917
1971,1047,55.937,3137,23.753
1972,1047,57.14,3419,24.202
1973,1047,57.294,3807,24.829
1974,1047,58.344,4107,24.563
1975,1047,58.402,4445,24.47
1976,1047,58.215,4980,25.3
1977,1047,58.179,4778,24.541
1978,1047,54.711,5155,23.434
1979,1047,54.455,5896,23.475
1980,1047,53.956,6415,23.519
1969,1049,42.521,2199,14.736
1970,1049,42.228,2241,14.841
1971,1049,43.656,2386,15.194
1972,1049,44.799,2763,16.311
1973,1049,46.72,3222,17.196
1974,1049,47.903,3339,17.451
1975,1049,49.978,3908,16.692
1976,1049,51.192,4318,17.685
1977,1049,52.025,4737,18.396
1978,1049,53.109,5539,19.333
1979,1049,53.487,6168,20.045
1980,1049,53.8,6684,20.277
1969,1051,32.941,2607,8.051
1970,1051,33.68,2793,8.106
1971,1051,33.857,3169,8.213
1972,1051,35.356,3552,8.827
1973,1051,36.534,3990,9.122
1974,1051,37.955,4310,9.317
1975,1051,39.667,4513,9.514
1976,1051,39.699,5279,10.074
1977,1051,40.505,5647,10.527
1978,1051,41.386,6480,11.319
1979,1051,43.04,7184,11.317
1980,1051,43.474,7889,11.592
1969,1053,34.266,2414,12.92
1970,1053,34.899,2577,13.014
1971,1053,35.218,2877,13.36
1972,1053,36.517,3134,14.018
1973,1053,36.926,3465,14.133
1974,1053,37.1,3879,14.182
1975,1053,38.345,4031,13.542
1976,1053,37.612,4619,13.95
1977,1053,37.51,5073,14.832
1978,1053,37.558,5675,15.215
1979,1053,37.919,6253,14.883
1980,1053,38.278,6828,14.807
1969,1055,92.041,2969,36.375
1970,1055,94.134,3010,35.044
1971,1055,94.887,3283,35.388
1972,1055,95.758,3652,36.119
1973,1055,96.072,4035,37.4
1974,1055,96.579,4409,37.366
1975,1055,97.936,4818,36.837
1976,1055,98.984,5204,36.805
1977,1055,100.171,5884,39.116
1978,1055,101.731,6595,41.07
1979,1055,102.937,7311,42.239
1980,1055,103.112,7971,41.418
1969,1057,16.914,2291,5.501
1970,1057,16.187,2632,5.584
1971,1057,16.095,2887,5.554
1972,1057,16.395,2970,5.366
1973,1057,16.544,3485,5.808
1974,1057,17.082,3606,5.918
1975,1057,17.36,4224,6.171
1976,1057,17.401,4910,6.914
1977,1057,17.485,5273,7.13
1978,1057,17.783,5987,7.724
1979,1057,18.32,6531,7.945
1980,1057,18.848,6967,7.896
1969,1059,23.374,2530,8.025
1970,1059,24.026,2632,8.141
1971,1059,24.627,2856,8.157
1972,1059,25.53,3209,8.581
1973,1059,26.016,3779,9.286
1974,1059,26.832,3906,9.333
1975,1059,26.826,4553,9.323
1976,1059,27.208,5094,9.958
1977,1059,27.743,5598,10.143
1978,1059,27.918,6647,10.658
1979,1059,28.815,7126,10.586
1980,1059,28.328,8119,10.418
1969,1061,20.398,2791,8.33
1970,1061,21.98,2887,8.31
1971,1061,22.173,3171,8.149
1972,1061,22.784,3365,8.473
1973,1061,22.689,4136,9.021
1974,1061,22.746,4260,9.252
1975,1061,23.177,4629,9.157
1976,1061,23.239,5174,9.29
1977,1061,23.406,5260,8.553
1978,1061,23.564,6239,8.709
1979,1061,23.915,6920,8.941
1980,1061,24.191,6527,8.816
1969,1063,13.09,1242,3.042
1970,1063,10.551,1819,2.987
1971,1063,10.295,2115,2.96
1972,1063,10.231,2356,3.065
1973,1063,10.581,2657,3.092
1974,1063,10.64,2605,3.139
1975,1063,10.727,2893,3.36
1976,1063,10.988,3469,3.39
1977,1063,10.818,3511,3.409
1978,1063,10.957,4379,3.901
1979,1063,10.842,5121,3.698
1980,1063,11.037,4885,3.718
1969,1065,18.512,1489,5.065
1970,1065,15.817,1944,4.874
1971,1065,15.601,2227,4.753
1972,1065,15.756,2369,4.796
1973,1065,15.872,2654,4.685
1974,1065,15.612,2751,4.491
1975,1065,15.728,3008,4.282
1976,1065,15.743,3425,4.459
1977,1065,15.751,3619,4.454
1978,1065,15.702,4185,4.384
1979,1065,15.926,4462,4.437
1980,1065,15.602,4819,4.35
1969,1067,14.202,2051,5.556
1970,1067,13.292,2516,5.613
1971,1067,13.456,2650,5.561
1972,1067,13.528,3124,5.683
1973,1067,13.681,3719,5.752
1974,1067,14.108,4484,5.937
1975,1067,14.268,4888,5.816
1976,1067,14.6,5274,5.86
1977,1067,14.722,5437,5.896
1978,1067,14.921,5861,5.914
1979,1067,15.027,6189,5.765
1980,1067,15.334,6615,5.721
1969,1069,56.313,2889,26.949
1970,1069,56.85,3200,27.67
1971,1069,58.518,3478,29.329
1972,1069,61.569,3739,31.341
1973,1069,64.039,4415,34.746
1974,1069,68.537,4623,35.974
1975,1069,70.601,4855,34.62
1976,1069,71.938,5575,36.577
1977,1069,72.838,6037,38.597
1978,1069,74.287,6646,39.824
1979,1069,74.689,7153,39.553
1980,1069,74.98,8150,40.513
1969,1071,37.611,2607,14.45
1970,1071,39.428,2831,15.434
1971,1071,40.669,3090,15.279
1972,1071,42.249,3368,15.815
1973,1071,43.122,3886,17.185
1974,1071,45.155,4370,19.456
1975,1071,47.011,4876,20.642
1976,1071,48.058,5608,23.074
1977,1071,49.698,5788,23.913
1978,1071,50.996,6449,24.921
1979,1071,51.605,6794,24.457
1980,1071,51.42,7157,24.545
1969,1073,628.116,3410,299.61
1970,1073,645.157,3635,302.62
1971,1073,649.821,3923,304.604
1972,1073,647.115,4332,314.591
1973,1073,650.646,4797,326.935
1974,1073,648.808,5428,336.339
1975,1073,655.348,5962,336.413
1976,1073,661.309,6522,340.801
1977,1073,663.616,7118,351.087
1978,1073,667.42,7910,362.896
1979,1073,671.71,8726,370.071
1980,1073,670.934,9538,362.881
1969,1075,15.128,2049,4.712
1970,1075,14.376,2397,4.664
1971,1075,14.678,2622,4.854
1972,1075,15.48,2669,4.567
1973,1075,15.401,3189,5.109
1974,1075,15.809,3392,5.124
1975,1075,16.003,3620,5.098
1976,1075,16.08,4306,5.489
1977,1075,16.062,4918,5.894
1978,1075,16.138,5777,6.515
1979,1075,16.197,6422,6.765
1980,1075,16.453,6960,6.583
1969,1077,67.309,2841,20.193
1970,1077,68.43,3087,20.524
1971,1077,70.158,3385,21.576
1972,1077,70.859,3681,23.243
1973,1077,72.285,3954,23.67
1974,1077,73.355,4321,23.826
1975,1077,74.347,4697,23.625
1976,1077,75.82,5293,25.413
1977,1077,77.073,5742,26.616
1978,1077,78.545,6446,28.595
1979,1077,80.463,7065,29.142
1980,1077,80.742,7832,29.046
1969,1079,27.404,2368,6.632
1970,1079,27.261,2787,7.292
1971,1079,27.408,2865,7.188
1972,1079,28.423,2934,7.317
1973,1079,28.011,3408,7.587
1974,1079,28.657,3447,8.276
1975,1079,28.606,4031,8.187
1976,1079,29.205,4342,7.895
1977,1079,29.614,4663,8.236
1978,1079,30.095,5104,9.525
1979,1079,30.275,6145,10.025
1980,1079,30.195,6577,8.899
1969,1081,55.869,2748,24.953
1970,1081,61.262,2770,25.031
1971,1081,61.896,3061,24.952
1972,1081,62.158,3446,26.173
1973,1081,64.588,3769,27.551
1974,1081,68.823,3967,27.763
1975,1081,69.373,4377,27.7
1976,1081,69.98,4920,28.875
1977,1081,71.861,5527,30.46
1978,1081,74.069,6176,32.087
1979,1081,75.99,6650,32.315
1980,1081,76.61,7459,32.917
1969,1083,41.645,2755,13.654
1970,1083,41.683,3066,14.06
1971,1083,41.954,3395,14.301
1972,1083,43.251,3543,14.685
1973,1083,43.459,3888,14.879
1974,1083,43.534,4183,15.335
1975,1083,44.041,4507,15.441
1976,1083,44.409,4983,15.189
1977,1083,44.5,5435,16.234
1978,1083,44.935,6081,17.342
1979,1083,45.008,7062,17.665
1980,1083,45.988,7543,18.271
1969,1085,15.022,1551,4.098
1970,1085,12.946,2131,3.999
1971,1085,13.255,2341,4.072
1972,1085,13.726,2880,4.044
1973,1085,13.785,3471,3.956
1974,1085,13.763,3110,3.823
1975,1085,13.42,3551,3.735
1976,1085,13.545,4441,3.758
1977,1085,13.838,3894,3.667
1978,1085,13.919,4551,3.746
1979,1085,13.341,5297,3.709
1980,1085,13.226,5153,3.607
1969,1087,25.722,2133,8.443
1970,1087,24.891,2459,8.275
1971,1087,25.273,2699,8.235
1972,1087,25.591,2904,8.168
1973,1087,25.545,3237,8.275
1974,1087,25.704,3500,8.363
1975,1087,26.23,3551,7.974
1976,1087,26.731,3864,8.101
1977,1087,27.053,4128,8.247
1978,1087,27.02,4612,8.359
1979,1087,26.585,5188,8.305
1980,1087,26.786,5615,8.262
1969,1089,182.485,3863,93.633
1970,1089,186.631,4163,93.073
1971,1089,188.555,4544,91.934
1972,1089,189.088,4919,94.754
1973,1089,189.788,5260,96.56
1974,1089,188.338,5711,97.178
1975,1089,188.153,6065,95.118
1976,1089,190.237,6654,98.647
1977,1089,192.452,7197,103.134
1978,1089,193.159,8063,108.409
1979,1089,194.95,8730,108.989
1980,1089,197.632,9539,108.333
1969,1091,27.913,1845,9.054
1970,1091,23.675,2259,8.605
1971,1091,23.396,2451,8.435
1972,1091,24.275,2621,8.531
1973,1091,24.207,2972,8.335
1974,1091,24.273,3170,8.28
1975,1091,24.636,3562,8.506
1976,1091,25.201,4184,8.995
1977,1091,25.395,4306,8.818
1978,1091,25.429,5105,8.968
1979,1091,25.28,5831,8.997
1980,1091,24.985,6255,8.821
1969,1093,24.172,2298,10.112
1970,1093,24.03,2574,10.45
1971,1093,25.441,2714,10.932
1972,1093,26.313,3026,11.578
1973,1093,27.167,3369,12.081
1974,1093,28.129,3393,11.519
1975,1093,28.527,3642,11.315
1976,1093,28.624,4207,11.898
1977,1093,29.102,4640,12.386
1978,1093,29.489,5310,13.151
1979,1093,29.834,5904,13.318
1980,1093,30.112,6268,13.108
1969,1095,55.181,2784,20.197
1970,1095,54.422,3026,20.423
1971,1095,55.91,3239,21.314
1972,1095,56.985,3637,23.007
1973,1095,57.994,4059,24.151
1974,1095,59.226,4275,24.464
1975,1095,61.052,4837,24.299
1976,1095,62.115,5319,25.394
1977,1095,63.528,5673,26.34
1978,1095,65.004,6326,27.639
1979,1095,65.016,7084,28.679
1980,1095,65.802,7710,29.151
1969,1097,317.958,2731,121.151
1970,1097,318.311,2986,121.223
1971,1097,323.278,3180,121.416
1972,1097,324.325,3506,126.18
1973,1097,324.541,3931,133.484
1974,1097,329.414,4426,137.961
1975,1097,335.235,4977,141.132
1976,1097,344.892,5489,147.159
1977,1097,353.134,5969,153.854
1978,1097,360.079,6603,162.577
1979,1097,361.747,7247,163.16
1980,1097,366.205,8153,167.983
1969,1099,21.996,2019,8.188
1970,1099,20.949,2325,8.111
1971,1099,21.113,2466,8.096
1972,1099,20.587,2705,8.195
1973,1099,20.732,3077,8.463
1974,1099,20.69,3418,8.806
1975,1099,20.929,3607,8.702
1976,1099,21.168,4134,8.869
1977,1099,21.391,4465,9.337
1978,1099,22.012,5799,10.958
1979,1099,22.502,6176,10.315
1980,1099,22.66,6271,9.858
1969,1101,163.653,3440,90.92
1970,1101,168.007,3704,90.762
1971,1101,169.88,4158,93.512
1972,1101,176.061,4639,98.687
1973,1101,179.282,5107,102.755
1974,1101,182.909,5623,104.331
1975,1101,183.179,6065,103.014
1976,1101,187.016,6556,105.321
1977,1101,188.055,7168,109.505
1978,1101,190.602,7983,114.503
1979,1101,193.395,8596,115.7
1980,1101,197.616,9343,115.722
1969,1103,74.066,3341,33.085
1970,1103,77.757,3535,34.152
1971,1103,80.253,3705,33.846
1972,1103,81.255,3990,35.037
1973,1103,82.444,4344,36.704
1974,1103,84.207,4670,38.049
1975,1103,85.497,5249,38.769
1976,1103,86.462,5741,39.598
1977,1103,87.501,6320,41.401
1978,1103,89.192,7035,43.196
1979,1103,90.547,7797,43.906
1980,1103,90.24,8414,42.606
1969,1105,17.842,1507,5.31
1970,1105,15.317,1969,5.196
1971,1105,15.355,2149,5.047
1972,1105,15.222,2460,5.131
1973,1105,14.857,2778,4.963
1974,1105,15.184,2877,4.731
1975,1105,14.526,2950,4.141
1976,1105,14.405,3289,4.133
1977,1105,14.54,3292,4.18
1978,1105,14.968,4054,4.282
1979,1105,14.825,4581,4.316
1980,1105,14.99,4601,4.524
1969,1107,20.376,2017,6.678
1970,1107,20.303,2273,6.687
1971,1107,20.352,2519,6.789
1972,1107,20.85,2774,6.95
1973,1107,21.346,3091,7.059
1974,1107,21.463,3342,7.003
1975,1107,21.489,3771,6.902
1976,1107,21.505,4133,7.187
1977,1107,21.631,4556,7.481
1978,1107,21.946,4959,7.316
1979,1107,21.835,5382,7.19
1980,1107,21.549,5778,7.095
1969,1109,24.552,2339,10.877
1970,1109,25.049,2507,10.936
1971,1109,25.14,2769,11.238
1972,1109,24.582,3221,11.734
1973,1109,25.092,3514,11.643
1974,1109,25.476,3889,11.632
1975,1109,26.342,4135,11.471
1976,1109,26.43,4536,11.548
1977,1109,26.275,4941,11.727
1978,1109,26.731,5684,12.116
1979,1109,27.412,6207,12.535
1980,1109,28.151,6351,12.737
1969,1111,18.774,2085,6.379
1970,1111,18.349,2243,6.493
1971,1111,18.599,2234,5.442
1972,1111,18.34,2735,6.243
1973,1111,18.976,3213,6.856
1974,1111,19.191,3355,6.771
1975,1111,19.295,4012,6.796
1976,1111,19.582,4425,7.102
1977,1111,19.641,4897,7.195
1978,1111,19.92,5553,7.255
1979,1111,19.862,5827,6.962
1980,1111,20.106,6425,7.278
1969,1113,46.329,2864,11.384
1970,1113,45.376,3050,11.651
1971,1113,45.623,3270,12.013
1972,1113,45.548,3492,12.535
1973,1113,46.344,3741,12.831
1974,1113,45.771,4074,12.852
1975,1113,47.376,4170,12.562
1976,1113,47.889,4584,12.819
1977,1113,48.179,4953,13.056
1978,1113,47.734,5606,13.316
1979,1113,47.781,6184,14.039
1980,1113,47.272,6926,14.024
1969,1115,27.787,2433,6.016
1970,1115,28.2,2588,6.124
1971,1115,29.546,2872,6.492
1972,1115,31.269,3214,7.084
1973,1115,32.182,3639,7.239
1974,1115,33.744,3973,7.453
1975,1115,34.787,4620,7.746
1976,1115,36.09,5089,8.354
1977,1115,38.035,5507,8.848
1978,1115,39.302,6137,9.445
1979,1115,40.483,6701,9.839
1980,1115,41.325,7393,9.964
1969,1117,35.972,2892,11.745
1970,1117,38.276,2978,12.207
1971,1117,40.109,3398,12.964
1972,1117,42.732,3791,13.81
1973,1117,46.16,4278,15.568
1974,1117,49.838,4685,15.804
1975,1117,51.699,5238,15.89
1976,1117,54.628,5856,17.205
1977,1117,60.199,6271,19.428
1978,1117,63.496,7027,20.502
1979,1117,64.459,8106,21.352
1980,1117,66.917,8937,21.651
1969,1119,17.993,1618,5.456
1970,1119,16.725,1963,5.349
1971,1119,15.819,2247,5.447
1972,1119,16.488,2542,5.772
1973,1119,16.688,2958,6.19
1974,1119,16.54,3289,6.538
1975,1119,16.872,3484,6.852
1976,1119,17.155,4009,6.813
1977,1119,17.181,3975,6.797
1978,1119,17.266,4764,6.799
1979,1119,16.877,5419,6.696
1980,1119,16.944,5466,6.435
1969,1121,66.969,2522,26.331
1970,1121,65.029,2699,24.998
1971,1121,64.752,2983,25.188
1972,1121,64.999,3247,25.11
1973,1121,66.636,3546,25.885
1974,1121,68.185,3830,25.775
1975,1121,68.957,4182,25.189
1976,1121,70.267,4744,26.639
1977,1121,71.75,5124,26.862
1978,1121,72.537,5695,27.473
1979,1121,73.504,6360,28.051
1980,1121,73.955,7088,27.951
1969,1123,35.098,2534,17.757
1970,1123,33.723,2747,17.102
1971,1123,33.755,2986,16.895
1972,1123,34.888,3267,17.578
1973,1123,35.754,3642,18.036
1974,1123,36.526,3908,18.215
1975,1123,36.993,4210,17.329
1976,1123,37.676,4806,18.52
1977,1123,37.003,5445,18.801
1978,1123,38.675,5848,18.956
1979,1123,39.166,6445,19.277
1980,1123,38.774,7416,19.834
1969,1125,116.608,2654,45.301
1970,1125,116.422,2956,46.034
1971,1125,119.592,3276,47.922
1972,1125,122.154,3583,50.473
1973,1125,123.756,3955,53.048
1974,1125,126.187,4408,53.778
1975,1125,127.102,4930,53.599
1976,1125,129.277,5301,54.76
1977,1125,130.989,6009,56.614
1978,1125,134.25,6572,56.73
1979,1125,135.577,7261,58.131
1980,1125,137.831,7654,57.764
1969,1127,56.849,2423,16.751
1970,1127,56.628,2731,17.006
1971,1127,58.706,2994,17.659
1972,1127,61.76,3325,18.879
1973,1127,62.845,3758,19.075
1974,1127,64.091,4063,19.256
1975,1127,65.783,4593,19.346
1976,1127,66.709,5017,20.226
1977,1127,67.999,5519,21.288
1978,1127,68.908,6096,21.156
1979,1127,69.079,7020,22.067
1980,1127,68.604,7813,22.07
1969,1129,16.012,2020,5.44
1970,1129,16.278,2169,5.422
1971,1129,16.458,2406,5.55
1972,1129,16.392,2479,4.969
1973,1129,16.366,2862,4.99
1974,1129,16.54,3114,5.012
1975,1129,16.89,3585,5.374
1976,1129,16.623,4169,5.742
1977,1129,16.677,5142,7.367
1978,1129,17.117,5193,6.191
1979,1129,16.807,6021,6.1
1980,1129,16.979,6853,6.535
1969,1131,17.979,1716,6.101
1970,1131,16.288,1950,5.64
1971,1131,16.245,2021,5.272
1972,1131,15.768,2272,5.272
1973,1131,15.177,2739,5.327
1974,1131,14.511,3048,5.267
1975,1131,14.756,3194,5.075
1976,1131,14.769,3641,5.224
1977,1131,14.607,4053,5.27
1978,1131,14.509,4726,5.331
1979,1131,14.444,5458,5.434
1980,1131,14.784,5564,5.331
1969,1133,16.548,2562,8.573
1970,1133,16.808,2607,8.698
1971,1133,17.73,2726,8.716
1972,1133,19.078,2976,9.489
